OTU.52	d:Eukaryota(1.00),p:Chordata(1.00),c:Actinopteri(1.00),o:Centrarchiformes(0.70),f:Cheilodactylidae(0.70),g:Nemadactylus(0.42),s:Nemadactylus_macropterus(0.19)	+	d:Eukaryota,p:Chordata,c:Actinopteri,o:Centrarchiformes,f:Cheilodactylidae
OTU.54	d:Eukaryota(1.00),p:Chordata(1.00),c:Actinopteri(1.00),o:Blenniiformes(1.00),f:Tripterygiidae(1.00),g:Forsterygion(1.00),s:Forsterygion_lapillum(0.37)	+	d:Eukaryota,p:Chordata,c:Actinopteri,o:Blenniiformes,f:Tripterygiidae,g:Forsterygion
OTU.57	d:Eukaryota(1.00),p:Chordata(1.00),c:Actinopteri(1.00),o:Labriformes(1.00),f:Labridae(1.00),g:Notolabrus(1.00),s:Notolabrus_celidotus(0.98)	+	d:Eukaryota,p:Chordata,c:Actinopteri,o:Labriformes,f:Labridae,g:Notolabrus,s:Notolabrus_celidotus
OTU.47	d:Eukaryota(1.00),p:Chordata(1.00),c:Actinopteri(1.00),o:Mugiliformes(1.00),f:Mugilidae(1.00),g:Aldrichetta(1.00),s:Aldrichetta_forsteri(1.00)	+	d:Eukaryota,p:Chordata,c:Actinopteri,o:Mugiliformes,f:Mugilidae,g:Aldrichetta,s:Aldrichetta_forsteri
OTU.55	d:Eukaryota(1.00),p:Chordata(1.00),c:Actinopteri(1.00),o:Labriformes(1.00),f:Labridae(1.00),g:Notolabrus(1.00),s:Notolabrus_celidotus(0.93)	+	d:Eukaryota,p:Chordata,c:Actinopteri,o:Labriformes,f:Labridae,g:Notolabrus,s:Notolabrus_celidotus
OTU.58	d:Eukaryota(1.00),p:Chordata(1.00),c:Actinopteri(1.00),o:Labriformes(0.53),f:Labridae(0.53),g:Notolabrus(0.39),s:Notolabrus_celidotus(0.30)	+	d:Eukaryota,p:Chordata,c:Actinopteri
OTU.60	d:Eukaryota(1.00),p:Chordata(1.00),c:Actinopteri(1.00),o:Blenniiformes(1.00),f:Tripterygiidae(1.00),g:Forsterygion(1.00),s:Forsterygion_lapillum(0.70)	+	d:Eukaryota,p:Chordata,c:Actinopteri,o:Blenniiformes,f:Tripterygiidae,g:Forsterygion,s:Forsterygion_lapillum
OTU.53	d:Eukaryota(1.00),p:Chordata(1.00),c:Chondrichthyes(0.89),o:Myliobatiformes(0.89),f:Dasyatidae(0.89),g:Bathytoshia(0.79),s:Bathytoshia_brevicaudata(0.79)	+	d:Eukaryota,p:Chordata,c:Chondrichthyes,o:Myliobatiformes,f:Dasyatidae,g:Bathytoshia,s:Bathytoshia_brevicaudata
OTU.56	d:Eukaryota(1.00),p:Chordata(1.00),c:Actinopteri(1.00),o:Mugiliformes(1.00),f:Mugilidae(1.00),g:Aldrichetta(1.00),s:Aldrichetta_forsteri(1.00)	+	d:Eukaryota,p:Chordata,c:Actinopteri,o:Mugiliformes,f:Mugilidae,g:Aldrichetta,s:Aldrichetta_forsteri
OTU.61	d:Eukaryota(1.00),p:Chordata(1.00),c:Actinopteri(1.00),o:Centrarchiformes(1.00),f:Cheilodactylidae(1.00),g:Nemadactylus(0.69),s:Nemadactylus_macropterus(0.39)	+	d:Eukaryota,p:Chordata,c:Actinopteri,o:Centrarchiformes,f:Cheilodactylidae,g:Nemadactylus
OTU.62	d:Eukaryota(1.00),p:Chordata(1.00),c:Actinopteri(1.00),o:Syngnathiformes(0.60),f:Syngnathidae(0.60),g:Pugnaso(0.25),s:Pugnaso_curtirostris(0.25)	+	d:Eukaryota,p:Chordata,c:Actinopteri,o:Syngnathiformes,f:Syngnathidae
OTU.59	d:Eukaryota(1.00),p:Chordata(1.00),c:Actinopteri(1.00),o:Labriformes(0.96),f:Labridae(0.96),g:Notolabrus(0.94),s:Notolabrus_celidotus(0.64)	+	d:Eukaryota,p:Chordata,c:Actinopteri,o:Labriformes,f:Labridae,g:Notolabrus,s:Notolabrus_celidotus
OTU.65	d:Eukaryota(1.00),p:Chordata(1.00),c:Actinopteri(1.00),o:Labriformes(1.00),f:Labridae(1.00),g:Notolabrus(0.39),s:Notolabrus_fucicola(0.35)	+	d:Eukaryota,p:Chordata,c:Actinopteri,o:Labriformes,f:Labridae
OTU.63	d:Eukaryota(1.00),p:Chordata(1.00),c:Actinopteri(1.00),o:Mugiliformes(0.74),f:Mugilidae(0.74),g:Aldrichetta(0.61),s:Aldrichetta_forsteri(0.61)	+	d:Eukaryota,p:Chordata,c:Actinopteri,o:Mugiliformes,f:Mugilidae,g:Aldrichetta,s:Aldrichetta_forsteri
OTU.68	d:Eukaryota(1.00),p:Chordata(1.00),c:Actinopteri(1.00),o:Blenniiformes(1.00),f:Tripterygiidae(1.00),g:Forsterygion(1.00),s:Forsterygion_capito(0.85)	+	d:Eukaryota,p:Chordata,c:Actinopteri,o:Blenniiformes,f:Tripterygiidae,g:Forsterygion,s:Forsterygion_capito
OTU.67	d:Eukaryota(1.00),p:Chordata(1.00),c:Actinopteri(1.00),o:Centrarchiformes(1.00),f:Cheilodactylidae(0.99),g:Nemadactylus(0.93),s:Nemadactylus_macropterus(0.87)	+	d:Eukaryota,p:Chordata,c:Actinopteri,o:Centrarchiformes,f:Cheilodactylidae,g:Nemadactylus,s:Nemadactylus_macropterus
OTU.66	d:Eukaryota(1.00),p:Chordata(1.00),c:Actinopteri(1.00),o:Scombriformes(1.00),f:Gempylidae(1.00),g:Thyrsites(1.00),s:Thyrsites_atun(1.00)	+	d:Eukaryota,p:Chordata,c:Actinopteri,o:Scombriformes,f:Gempylidae,g:Thyrsites,s:Thyrsites_atun
